Date,vacancy_rate
2025-07-01,0.013
2025-08-01,0.013457075619631647
2025-09-01,0.014422775946470255
2025-10-01,0.010998251582224911
2025-11-01,0.011890624133197119
2025-12-01,0.012253703950321694
2026-01-01,0.013834004530003344
2026-02-01,0.013641148990843998
2026-03-01,0.02596176477783916
2026-04-01,0.019986823204351956
2026-05-01,0.017466546216349393
2026-06-01,0.014881860724021192
2026-07-01,0.013991415247510571
2026-08-01,0.013116219585149526
2026-09-01,0.02577781384193272
2026-10-01,0.02451805039856196
2026-11-01,0.032798265778335445
2026-12-01,0.033361548810186735
2027-01-01,0.02499828490308452
2027-02-01,0.0219137664438101
2027-03-01,0.02370960689648929
2027-04-01,0.031402929450963186
2027-05-01,0.03966361512540783
2027-06-01,0.030432718435748424
2027-07-01,0.025278199321994287
2027-08-01,0.020501322734760335
2027-09-01,0.03439224956140119
2027-10-01,0.025606215541370908
2027-11-01,0.018669735444467383
2027-12-01,0.01692945763656131
2028-01-01,0.024877361972211944
2028-02-01,0.029070235968532837
2028-03-01,0.026934862464531403
2028-04-01,0.0362558284883649
2028-05-01,0.027475409547932386
2028-06-01,0.023347401797107058
2028-07-01,0.028595704791630344
2028-08-01,0.02256460127356223
2028-09-01,0.03000992014263226
2028-10-01,0.02477756808106983
2028-11-01,0.0295370053559338
2028-12-01,0.026393913802881936
2029-01-01,0.019721994553341653
2029-02-01,0.01796895779975723
2029-03-01,0.015662578738783114
2029-04-01,0.014196280223616886
2029-05-01,0.017627045350783254
2029-06-01,0.015499029864158272
2029-07-01,0.023222066788575742
2029-08-01,0.01875311847902904
2029-09-01,0.01684772127293968
2029-10-01,0.01585003314444285
2029-11-01,0.017255189880869225
2029-12-01,0.014230627183632199
2030-01-01,0.014129902695318577
2030-02-01,0.03230361807692675
2030-03-01,0.029131327461490483
2030-04-01,0.03607640287930718
2030-05-01,0.027666327825901508
2030-06-01,0.02100974446502467
